Enfermedades en Reptiles,,,,,,,
Id_Enfermedades_Reptiles,Nombre de Enfermedad,Agente Causal,Forma de Transmisión,Síntomas,Reptil Específico/Predispuesto,Tratamiento/Manejo,Gravedad/Pronóstico
1,Abscesos,Infección bacteriana (varias especies),"Mordeduras, lesiones, malas condiciones ambientales","Úlceras llenas de pus, inflamación, pequeños bultos o tumefacciones (subcutáneos)",Todos los órdenes de reptiles,"Extirpación quirúrgica (pequeños), abrir y drenar (grandes), antibióticos apropiados",Recidiva frecuente si no se extirpan; variable
2,Dermatofitosis,Infección fúngica (hongo),Lesión en la piel proporciona punto de entrada,Infección fúngica de la piel o uñas; caparazón con tejido muerto/dañado/infectado,Todos los reptiles; Tortugas y Galápagos,"Retirar tejido muerto/dañado, solución antiséptica, antimicóticos orales o tópicos, luz ultravioleta",Variable
3,Disecdisis (Muda Anormal),"Baja humedad, parásitos cutáneos, deficiencias nutricionales, enfermedades infecciosas",Factores de manejo o internos,"Desprendimiento incompleto de la piel, escamas supraoculares o bandas de piel retenidas","Serpientes, reptiles en general",Sumergir en agua tibia y retirar suavemente la piel retenida; pomada ocular (escamas supraoculares); cámara de humedad,Puede provocar infecciones secundarias; prevenible
4,E. Ulcerativa Cutánea Septicémica,"Citrobacter freundii, Serratia spp. (sinérgico), Vibrio (Beneckea) chitinovora",Contaminación bacteriana; la alimentación con cangrejos a menudo implicada (Vibrio),"Caparazón con orificios, secreción purulenta, anorexia, letargo, hemorragias, necrosis hepática, abscesos","Tortugas acuáticas, Tortugas de orejas rojas","Antibióticos sistémicos, desbridamiento; Yodo tópico + antibióticos (Vibrio); higiene correcta",Septicemia y muerte posibles (C. freundii); variable
5,Dermatitis Necrótica (Pudrición de Escamas),"Aeromonas spp., Pseudomonas spp., varias bacterias/hongos","Condiciones antihigiénicas, humedad excesiva, lechos contaminados, piel dañada","Eritema, necrosis, ulceración de la dermis, descarga exudativa; hemorragia en escamas seguida de pústulas y lesiones abiertas","Serpientes, Lagartos, Pitón bola","Desbridamiento, antibióticos sistémicos y tópicos, higiene excelente",Puede causar septicemia y muerte
6,E. Cuerpos de Inclusión (ECI),Reptarenavirus,"Contacto con fluidos corporales, reproducción, peleas, contaminación fecal/oral, ácaros de las serpientes","Boas: Incapacidad para ganar peso, anorexia, signos neurológicos. Pitones: Curso más agudo, signos neurológicos profundos.","Boas, Pitones","No tiene cura. Aislamiento, terapia de soporte, paliativos, eutanasia.","Mal pronóstico (crónica en boas, aguda/fatal en pitones)"
7,Gota,"Asociado a problemas metabólicos, exceso de ácido úrico","Dieta inadecuada, deshidratación","Tofos (depósitos de urato) mineralizados o radiolúcidos en órganos y articulaciones; dolor al movimiento, falta de apetito","Todos los órdenes de reptiles, Camaleón",Terapia a largo plazo; eutanasia si hay dolor severo y anorexia,"Variable, puede ser crónica"
8,Hiperparatiroidismo Nutricional Secundario,"Deficiencias nutricionales (Ca, Vitamina D3 o relación Ca:P inadecuada)",Dieta inadecuada; manejo incorrecto de iluminación/suplementos,"Debilidad ósea, deformidades, fracturas patológicas","Iguana verde (más común), Reptiles en general",Corrección de la dieta y manejo ambiental,"Variable, mejor con intervención temprana"
9,Estomatitis,"Bacterias (principalmente), hongos, virus o tumores","Malas condiciones de manejo, deficiencias nutricionales, ácaros, traumatismo oral, tumores","Inflamación e infección de encías, lengua, paladar y labios; puede afectar el tracto digestivo superior","Tortugas de tierra, Serpientes, Iguanas, Camaleones, Cocodrilos","Desbridamiento, antibióticos, tratamiento de la causa subyacente","Variable, grave si no se trata"
10,Septicemia,"Aeromonas spp., Pseudomonas spp. (a menudo).","Infección generalizada a partir de traumatismo, infección localizada, parasitismo o estrés ambiental. Aeromonas se transmite a través de ectoparásitos.","Dificultad respiratoria, letargo, convulsiones, falta de coordinación (terminales), petequias en el abdomen. En quelonios: eritema de la concha ventral.",Todos los reptiles. Los quelonios tienen un síntoma específico.,Aislar al animal. Iniciar tratamiento antibiótico. Corregir higiene y cuidado.,Frecuente causa de muerte. Grave.
11,Enfermedad Ulcerativa Cutánea Septicémica,Comúnmente Citrobacter freundii. Serratia spp. puede facilitar la entrada. También por Vibrio (Beneckea) chitinovora (asociada a cangrejos).,Malas condiciones de higiene del agua. La variante por Vibrio se relaciona con la alimentación con cangrejos.,"Lesiones en el caparazón con orificios y secreción purulenta. Anorexia, letargo, hemorragias petequiales. Necrosis hepática y abscesos son comunes.",Tortugas acuáticas (ej. tortuga de orejas rojas).,"Antibióticos sistémicos. Desbridamiento de heridas. Higiene correcta (esencial para la prevención). Para Vibrio: yodo tópico y antibióticos, desaconsejar cangrejos.",Grave debido a la septicemia. La variante por Vibrio rara vez causa septicemia.
12,Ulceración o Dermatitis Necrótica (Pudrición de las escamas),"Aeromonas spp., Pseudomonas spp. y otras bacterias (infección secundaria a daño primario). Proliferación bacteriana y fúngica.","Mantenimiento en condiciones antihigiénicas, humedad excesiva, condensación. Exposición a productos de degradación fecal, daños por suelos calefactables.","Eritema, necrosis, ulceración de la dermis, descarga exudativa. Puede empezar como ampollas o pústulas. Puede progresar a septicemia.",Serpientes y lagartos (mención específica a la pitón bola).,Desbridamiento. Antibióticos sistémicos. Pomadas antibióticas tópicas. Excelente higiene y cuidado general.,Puede llevar a septicemia y muerte si no se trata.
13,Abscesos (Subcutáneos y Viscerales),"Peptostreptococcus (anaerobio), y una variedad de aerobios como Pseudomonas, Aeromonas, Salmonella, Staphylococcus, etc. (a menudo en combinación).","Lesiones traumáticas, heridas por mordeduras, o manejo inadecuado. Abscesos viscerales por infección hematógena o translocación intestinal.",Nódulos o tumefacciones (subcutáneos). Abscesos viscerales que pueden causar celiomitis. Abscesos subespeculares en serpientes (debajo del ojo).,Todos los órdenes de reptiles. Serpientes para abscesos subespeculares.,Extirpación completa (pequeños localizados). Resección total con desbridamiento y lavados antisépticos locales. Intervención quirúrgica para abscesos viscerales. Suplementos de Vitamina A para afecciones oculares en tortugas.,El pronóstico depende de la extirpación completa; los antibióticos sistémicos solos rara vez tienen éxito en abscesos viscerales.
14,Estomatitis Infecciosa (Boca podrida),"Aeromonas spp., Pseudomonas spp. (con mayor frecuencia), y variedad de bacterias Gram negativas y positivas, aerobias y anaerobias.",Bacterias a menudo presentes en la boca. Factores predisponentes como estrés e inmunosupresión.,Petequias en la cavidad oral (precoz). Desarrollo de material caseoso a lo largo de los dientes. En casos graves: osteomielitis de mandíbula y maxilar.,"Serpientes, lagartos y tortugas.",Desbridamiento quirúrgico. Irrigación repetida con antisépticos. Antibióticos sistémicos. Terapia de soporte. Suplementación con Vitaminas A y C.,Puede ser grave si la infección se extiende y causa osteomielitis.
